original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence,recipe_title,recipe_category,likely_sub_category_1,likely_sub_category_1_score,main_category_1,likely_sub_category_2,likely_sub_category_2_score,main_category_2,likely_sub_category_3,likely_sub_category_3_score,main_category_3
"1 package TJ’s Steamed & Peeled Baby Beets, warmed according to package instructions, if desired, and sliced into thin rounds",Steamed & Peeled Baby Beets,0.981279,1.0,1 package,package,0.999603,"warmed according to package instructions, and sliced into thin rounds",0.998281,Baby Beets Atop a Cloud of Ricotta,Appetizers & Sides,"Slices, Shreds, Crumbles",0.1357336044311523,Cheese,Fresh,0.0623237900435924,Unknown,Dressing & Seasoning,0.0594172552227973,"Dips, Sauces & Dressings"
"1 block TJ’s Organic Silken Tofu, drained",Organic Silken Tofu,0.997356,1.0,1 block,block,0.998173,drained,0.998737,Not-cio e Pepe Pasta,Lunch & Dinner,"Slices, Shreds, Crumbles",0.0981567129492759,Cheese,Fresh,0.0944919735193252,Unknown,"BBQ, Pasta, Simmer",0.0531318373978138,"Dips, Sauces & Dressings"
"1 1/4 cup TJ’s Tiny Fruity Cuties, divided",Tiny Fruity Cuties,0.999634,1.25,1 1/4 cups,cup,0.999961,divided,0.999606,Fruity Cuties Cereal Shake,Desserts,Fruits,0.6203791499137878,Fresh Fruits & Veggies,Veggies,0.0948012918233871,Fresh Fruits & Veggies,Fresh Fruits,0.0740079581737518,Unknown
"½ cup TJ’s Unsalted Butter, softened",Unsalted Butter,0.997291,0.5,1/2 cups,cup,0.999979,softened,0.999846,Honey Gochujang Corn Cookie Ice Cream Sandwiches,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 box TJ’s Frozen Pie Crusts, thawed at room temperature for 2 hours",Frozen Pie Crusts,0.998907,1.0,1 box,box,0.998918,thawed at room temperature for 2 hours,0.999521,Lemon & Thyme Triple Berry Pie,Desserts,"Slices, Shreds, Crumbles",0.2529235482215881,Cheese,Bakery,0.0464636087417602,Unknown,Cream and Creamy Cheeses,0.0463394299149513,Cheese
"2 tablespoons TJ’s Unsalted Butter, cubed",Unsalted Butter,0.998088,2.0,2 tablespoons,tablespoon,0.999971,cubed,0.999854,Lemon & Thyme Triple Berry Pie,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
1 tablespoon chopped TJ’s Fresh Thyme,Fresh Thyme,0.972148,1.0,1 tablespoon,tablespoon,0.999708,chopped,0.972646,Lemon & Thyme Triple Berry Pie,Desserts,Fresh,0.4999614357948303,Unknown,Fresh Vegetables,0.087995707988739,Unknown,Veggies,0.0604048818349838,Fresh Fruits & Veggies
"1 wedge TJ’s Triple Creme Brie, cut into 8 slices",Triple Creme Brie,0.99306,1.0,1 wedge,wedge,0.988541,cut into 8 slices,0.999932,"Bacon, Apple, and Brie Panini",Lunch,Fresh,0.1219101324677467,Unknown,"Slices, Shreds, Crumbles",0.1051883921027183,Cheese,Entrées & Center of Plate,0.0633758306503295,Fresh Prepared Foods
"4 slices of your favorite TJ’s Bacon, cooked according to package instructions",your favorite Bacon,0.95159,4.0,4 slices,slices,0.99889,cooked according to package instructions,0.996533,"Bacon, Apple, and Brie Panini",Lunch,Pastas & Grains,0.2070784121751785,For the Pantry,For Baking & Cooking,0.0513711161911487,For the Pantry,Smoked or Processed,0.0506014339625835,Unknown
"1 bag TJ’s Roasted Corn, prepared according to package instructions",Roasted Corn,0.992658,1.0,1 bag,bag,0.999786,prepared according to package instructions,0.986951,Carne Asada Ensalada,Dinner & Lunch,Fresh,0.5638614892959595,Unknown,Cooked or Processed,0.0415905565023422,Unknown,Smoked or Processed,0.0300590898841619,Unknown
1 cup halved TJ’s Mini Grape Tomatoes,Mini Grape Tomatoes,0.979744,1.0,1 cup,cup,0.999689,halved,0.922493,Carne Asada Ensalada,Dinner & Lunch,Cream and Creamy Cheeses,0.2605782151222229,Cheese,Fresh Fruits,0.0817504674196243,Unknown,Fruits,0.0788958519697189,Fresh Fruits & Veggies
½ cup crumbled Cotija Cheese,Cotija Cheese,0.995074,0.5,1/2 cups,cup,0.999693,crumbled,0.992779,Carne Asada Ensalada,Dinner & Lunch,Cream and Creamy Cheeses,0.6541835069656372,Cheese,"Slices, Shreds, Crumbles",0.0484925471246242,Cheese,"Wedges, Wheels, Loaves, Logs",0.0408885739743709,Cheese
"1 wedge TJ’s Triple Cream Soft Ripened Cambozola® Blue Cheese, sliced into rectangles",Triple Cream Soft Ripened Cambozola® Blue Cheese,0.99449,1.0,1 wedge,wedge,0.983101,sliced into rectangles,0.998467,Fig & Blue Cheese Burgers,Dinner & Lunch,Cream and Creamy Cheeses,0.5202565789222717,Cheese,"Slices, Shreds, Crumbles",0.0689451172947883,Cheese,Fresh Fruits,0.0480409227311611,Unknown
½ cup chopped TJ’s Fresh Basil,Fresh Basil,0.97776,0.5,1/2 cups,cup,0.999776,chopped,0.979338,Zucchini & Ricotta Rolls,Dinner,Fresh,0.8466125726699829,Unknown,Fresh Vegetables,0.0343035720288753,Unknown,"Slices, Shreds, Crumbles",0.0091265365481376,Cheese
¼ cup chopped TJ’s Hot & Sweet Jalapeño Peppers,Hot & Sweet Jalapeño Peppers,0.98458,0.25,1/4 cups,cup,0.998808,chopped,0.997824,Curtido,Appetizers & Sides,Salsa & Hot Sauce,0.2134617269039154,"Dips, Sauces & Dressings","Soup, Chili & Meals",0.0668603703379631,For the Pantry,"Bars, Jerky &… Surprises",0.0464491844177246,Snacks & Sweets
"1 bulb TJ’s Fennel, thinly sliced",Fennel,0.996409,1.0,1 bulb,bulb,0.999409,thinly sliced,0.998553,"Blood Orange, Fennel, & Feta Salad",Appetizers & Sides,Fresh,0.6745657920837402,Unknown,"Slices, Shreds, Crumbles",0.0209187362343072,Cheese,Smoked,0.015084633603692,Unknown
"1/2 cup TJ’s Roasted & Salted Pecan Halves, roughly chopped",Roasted & Salted Pecan Halves,0.990957,0.5,1/2 cups,cup,0.999961,roughly chopped,0.998549,"Blood Orange, Fennel, & Feta Salad",Appetizers & Sides,Fresh,0.2108885645866394,Unknown,Cooked or Processed,0.0933699384331703,Unknown,"Slices, Shreds, Crumbles",0.0523031130433082,Cheese
"1 cup diced TJ’s Bell Peppers, one color or an array)",Bell Peppers,0.997914,1.0,1 cup,cup,0.999336,diced,0.996037,Cilantro Lentil Tacos,Lunch & Dinner,Fresh,0.1582347750663757,Unknown,Cool Desserts,0.1003237962722778,From The Freezer,Appetizers,0.0587998293340206,From The Freezer
"1 cup dried TJ's Organic White Quinoa, prepared according to package instructions",dried Organic White Quinoa,0.99539,1.0,1 cup,cup,0.999948,prepared according to package instructions,0.983477,Yellow Curry Chickpeas,Dinner,Fresh,0.3166064321994781,Unknown,Smoked or Processed,0.0852032750844955,Unknown,"Slices, Shreds, Crumbles",0.0715840235352516,Cheese
"1 cans TJ's Organic Garbanzo Beans, drained",Organic Garbanzo Beans,0.998987,1.0,1 can,can,0.999597,drained,0.995565,Yellow Curry Chickpeas,Dinner,Cream and Creamy Cheeses,0.1817216575145721,Cheese,Fresh,0.1538094729185104,Unknown,Fresh Vegetables,0.076617956161499,Unknown
"¼ block TJ’s Unexpected Cheddar, sliced into bite-sized rectangles",Unexpected Cheddar,0.998993,0.25,1/4 blocks,blocks,0.999769,sliced into bite-sized rectangles,0.999844,Unexpected Fig Bites,Appetizers & Sides,Fresh,0.0692733004689216,Unknown,"BBQ, Pasta, Simmer",0.064383253455162,"Dips, Sauces & Dressings",Cream and Creamy Cheeses,0.0577364563941955,Cheese
"4 cloves TJ’s Garlic, smashed",Garlic,0.991722,4.0,4 cloves,cloves,0.994326,smashed,0.998648,Cozy Tortellini Soup,"Appetizers & Sides, Dinner & Lunch",Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1/2 package TJ’s Spicy Chicken Nuggets, sliced into thirds",Spicy Chicken Nuggets,0.999156,0.5,1/2 packages,packages,0.999908,sliced into thirds,0.998786,Korean Hot Chicken-Inspired Pizza,Lunch & Dinner,Fresh,0.4728260338306427,Unknown,Chicken & Turkey,0.0633483156561851,"Meat, Seafood & Plant-based",Spices,0.0389116108417511,For the Pantry
"1/3 cup TJ’s Walnuts, roughly chopped",Walnuts,0.996884,0.3333333333333333,1/3 cups,cup,0.999974,roughly chopped,0.998344,Baked Brie en Croûte,Appetizers & Sides,Fresh,0.2575060129165649,Unknown,"Nuts, Dried Fruits, Seeds",0.0806082561612129,Snacks & Sweets,"Slices, Shreds, Crumbles",0.0762260779738426,Cheese
"1 tablespoon TJ’s Fresh Thyme, destemmed and chopped",Fresh Thyme,0.984181,1.0,1 tablespoon,tablespoon,0.999933,destemmed and chopped,0.999379,Baked Brie en Croûte,Appetizers & Sides,Fresh,0.4999614357948303,Unknown,Fresh Vegetables,0.087995707988739,Unknown,Veggies,0.0604048818349838,Fresh Fruits & Veggies
"1/2 cup finely grated TJ’s Pecorino Romano Cheese, plus more for serving",Pecorino Romano Cheese,0.996398,0.5,1/2 cups,cup,0.999921,finely grated,0.999859,Triangoletti Carbonara,Dinner,Cream and Creamy Cheeses,0.8033363819122314,Cheese,"Slices, Shreds, Crumbles",0.0450735613703727,Cheese,"Wedges, Wheels, Loaves, Logs",0.0178156718611717,Cheese
"½ package TJ’s Uncured Apple Smoked Bacon, chopped into thin strips and cooked until crispy (ensure this step is complete before the pasta water comes to a boil)",Uncured Apple Smoked Bacon,0.999382,0.5,1/2 packages,packages,0.999759,chopped into thin strips and cooked until crispy,0.999778,Triangoletti Carbonara,Dinner,Smoked or Processed,0.5946135520935059,Unknown,Fresh,0.0587386600673198,Unknown,Refrigerated Dough,0.0292118117213249,Unknown
1 ½ cups shredded TJ’s Fontina Cheese,Fontina Cheese,0.974777,1.5,1 1/2 cups,cup,0.999535,shredded,0.926418,Shrimp Scampizza,Lunch & Dinner,Cream and Creamy Cheeses,0.8081777691841125,Cheese,"Slices, Shreds, Crumbles",0.0447629652917385,Cheese,"Wedges, Wheels, Loaves, Logs",0.0155683867633342,Cheese
"1 package TJ’s Shrimp Scampi, prepared according to package instructions",Shrimp Scampi,0.999333,1.0,1 package,package,0.999728,prepared according to package instructions,0.9775,Shrimp Scampizza,Lunch & Dinner,Fresh,0.2465941160917282,Unknown,Shellfish,0.214402288198471,Unknown,Smoked,0.0371438078582286,Unknown
¼ cup crushed TJ’s Tortilla Chips,Tortilla Chips,0.949068,0.25,1/4 cups,cup,0.999614,crushed,0.845231,Mac-chos,Dinner & Lunch,"Chips, Crackers & Crunchy Bites",0.1633100807666778,Snacks & Sweets,Nut Butters & Fruit Spreads,0.044742576777935,For the Pantry,Tortillas & Flatbreads,0.0427358783781528,Bakery
"1 package TJ's Lemon Pepper Grilled Chicken, sliced into bite-sized pieces",Lemon Pepper Grilled Chicken,0.998741,1.0,1 package,package,0.9995,sliced into bite-sized pieces,0.999956,Lemon Chicken Orzo Soup,Dinner & Lunch,Fresh,0.7056846618652344,Unknown,Shellfish,0.0266781505197286,Unknown,Cooked or Processed,0.0253671687096357,Unknown
"1/2 cup TJ's Milk, heated to 110-115°F",Milk,0.999192,0.5,1/2 cups,cup,0.999967,heated to 110-115°F,0.983537,Sufganiyot (Jelly Donuts),Desserts,Milk & Cream,0.6364820599555969,Dairy & Eggs,Fresh,0.0562480613589286,Unknown,Fresh Fruits,0.0382080636918544,Unknown
"1 1/2 tablespoons TJ's Unsalted Butter, melted",Unsalted Butter,0.997429,1.5,1 1/2 tablespoons,tablespoon,0.99997,melted,0.999267,Sufganiyot (Jelly Donuts),Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
1 cup finely shredded TJ’s Cotswold® Double Gloucester with Chive and Onion,Cotswold® Double Gloucester with Chive and Onion,0.997856,1.0,1 cup,cup,0.999867,finely shredded,0.99533,Cheesy Chive-y Biscuits,Appetizers & Sides,"Slices, Shreds, Crumbles",0.0959159359335899,Cheese,Fresh,0.0924094840884208,Unknown,"BBQ, Pasta, Simmer",0.0758017674088478,"Dips, Sauces & Dressings"
"6 cloves of TJ's Garlic, smashed",Garlic,0.983789,6.0,6 cloves,cloves,0.988253,smashed,0.998648,Marinated Manchego,Appetizers & Sides,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 block TJ's Manchego Cheese, cut into bite-sized cubes",Manchego Cheese,0.997498,1.0,1 block,block,0.999044,cut into bite-sized cubes,0.999919,Marinated Manchego,Appetizers & Sides,Cream and Creamy Cheeses,0.805214524269104,Cheese,"Slices, Shreds, Crumbles",0.0359572172164917,Cheese,"Wedges, Wheels, Loaves, Logs",0.01913982629776,Cheese
"1 bag TJ's Shredded Hash Browns, thawed",Shredded Hash Browns,0.999246,1.0,1 bag,bag,0.999664,thawed,0.985693,Cheesy Hash Brown Casserole,Appetizers & Sides & Breakfast,Fresh,0.1272646337747573,Unknown,"Slices, Shreds, Crumbles",0.061482585966587,Cheese,Refrigerated Dough,0.0414133667945861,Unknown
"6 slices TJ's Fully Cooked Uncured Bacon, prepared according to package instructions then chopped",Fully Cooked Uncured Bacon,0.997402,6.0,6 slices,slices,0.999726,prepared according to package instructions then chopped,0.997851,Cheesy Hash Brown Casserole,Appetizers & Sides & Breakfast,Cooked or Processed,0.2541916370391845,Unknown,Smoked or Processed,0.1622718721628189,Unknown,Fresh,0.0795448794960975,Unknown
"1/4 cup TJ's Chives, finely diced, divided",Chives,0.997024,0.25,1/4 cups,cup,0.999918,"finely diced, divided",0.999364,Cheesy Hash Brown Casserole,Appetizers & Sides & Breakfast,Fresh,0.1251170039176941,Unknown,"Slices, Shreds, Crumbles",0.0920571014285087,Cheese,Fresh Fruits,0.0659191608428955,Unknown
"1 bag TJ's Turkey and Stuffing Seasoned Kettle Chips, crushed",Turkey and Stuffing Seasoned Kettle Chips,0.978141,1.0,1 bag,bag,0.994697,crushed,0.99708,Cheesy Hash Brown Casserole,Appetizers & Sides & Breakfast,Baking and Cooking,0.2673693895339966,Unknown,Cooked or Processed,0.0653650015592575,Unknown,Yogurt,0.0591204352676868,Dairy & Eggs
"1/2 bag TJ's Organic Whole Fresh Cranberries (seasonal), rinsed",Organic Whole Fresh Cranberries,0.998446,0.5,1/2 bags,bag,0.999278,rinsed,0.996794,Gingerosa,Beverages,Fresh,0.8712494373321533,Unknown,Fresh Vegetables,0.0160077586770057,Unknown,Veggies,0.0142900487408041,Fresh Fruits & Veggies
"3/4 cup TJ's Organic Sugar, divided (for optional step)",Organic Sugar,0.998091,0.75,3/4 cups,cup,0.999952,divided,0.99788,Gingerosa,Beverages,Cream and Creamy Cheeses,0.0689657852053642,Cheese,"Slices, Shreds, Crumbles",0.0671703889966011,Cheese,Fresh Fruits,0.0538530088961124,Unknown
"1 stick TJ's Unsalted Butter, softened",Unsalted Butter,0.996846,1.0,1 stick,stick,0.999027,softened,0.999846,Herby Compound Butter,Appetizers & Sides,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1/3 package TJ's Fresh Rosemary, destemmed",Fresh Rosemary,0.997504,0.3333333333333333,1/3 packages,packages,0.999904,destemmed,0.996816,Herby Compound Butter,Appetizers & Sides,Fresh,0.6685523390769958,Unknown,Fresh Vegetables,0.0741270706057548,Unknown,Spices,0.0233474243432283,For the Pantry
"1/3 package TJ's Fresh Thyme, destemmed",Fresh Thyme,0.997021,0.3333333333333333,1/3 packages,packages,0.999846,destemmed,0.995422,Herby Compound Butter,Appetizers & Sides,Fresh,0.4999614357948303,Unknown,Fresh Vegetables,0.087995707988739,Unknown,Veggies,0.0604048818349838,Fresh Fruits & Veggies
"1/3 package TJ's Fresh Sage, destemmed",Fresh Sage,0.990994,0.3333333333333333,1/3 packages,packages,0.999873,destemmed,0.998091,Herby Compound Butter,Appetizers & Sides,Fresh,0.6734050512313843,Unknown,Fresh Vegetables,0.0810301229357719,Unknown,Veggies,0.0285275131464004,Fresh Fruits & Veggies
"8 TJ’s Garlic Cloves, roughly chopped",Garlic,0.910273,8.0,8 Cloves,Cloves,0.954991,roughly chopped,0.996659,Garlicky Sweet Chili Green Beans,Appetizers & Sides,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 ½ cups TJ’s Dry Roasted & Salted Almonds, chopped",Dry Roasted & Salted Almonds,0.989841,1.5,1 1/2 cups,cup,0.99995,chopped,0.999137,Garlicky Sweet Chili Green Beans,Appetizers & Sides,"Nuts, Dried Fruits, Seeds",0.1420022994279861,Snacks & Sweets,Refrigerated Dough,0.1095638647675514,Unknown,Fresh,0.0814919918775558,Unknown
"1 stick TJ's Unsalted Butter, softened",Unsalted Butter,0.996846,1.0,1 stick,stick,0.999027,softened,0.999846,Crunchy Chili Onion Compound Butter,Appetizers & Sides,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
½ cup sliced TJ’s Strawberries,Strawberries,0.987782,0.5,1/2 cups,cup,0.999658,sliced,0.981928,Dark Chocolate Chip Protein Pancakes,Breakfast,Fresh Fruits,0.133504644036293,Unknown,Fresh,0.1255398243665695,Unknown,Cream and Creamy Cheeses,0.0646862834692001,Cheese
"1 cup TJ’s Vegan Heavy Whipping Cream Alternative, whipped according to package instructions, or TJ’s Heavy Whipping Cream whipped to soft peak-stage",Vegan Heavy Whipping Cream Alternative Heavy Whipping Cream,0.975836,1.0,1 cup,cup,0.999901,"whipped according to package instructions, whipped to soft peak-stage",0.987942,Dark Chocolate Chip Protein Pancakes,Breakfast,Fresh,0.1202815026044845,Unknown,Smoked or Processed,0.1000186800956726,Unknown,Cream and Creamy Cheeses,0.0653450712561607,Cheese
"5 tablespoons TJ’s Olive Oil, divided",Olive Oil,0.998662,5.0,5 tablespoons,tablespoon,0.999979,divided,0.999538,Turkey Pasta Primavera,Dinner,Cream and Creamy Cheeses,0.1225193813443183,Cheese,Fresh,0.0835179612040519,Unknown,Refrigerated Dough,0.072545401751995,Unknown
"½ package TJ’s Capellini pasta, cook according to package instructions",Capellini pasta,0.999314,0.5,1/2 packages,packages,0.999931,cook according to package instructions,0.616855,Turkey Pasta Primavera,Dinner,Cream and Creamy Cheeses,0.1206701844930648,Cheese,"Slices, Shreds, Crumbles",0.0895687118172645,Cheese,Fresh,0.0729741305112838,Unknown
"1 pound TJ’s Carrots of Many Colors, thinly sliced on a bias",Carrots of Many Colors,0.999127,1.0,1 pound,pound,0.999959,thinly sliced on a bias,0.999179,Turkey Pasta Primavera,Dinner,"Slices, Shreds, Crumbles",0.1112638264894485,Cheese,Cool Desserts,0.0961243361234664,From The Freezer,Fresh,0.0452971421182155,Unknown
1/3 cup grated TJ’s Parmesan,Parmesan,0.998163,0.3333333333333333,1/3 cups,cup,0.999689,grated,0.99847,Umami Parm Popcorn,Appetizers & Sides,Fresh,0.2628246247768402,Unknown,Fresh Vegetables,0.0709308683872222,Unknown,"Slices, Shreds, Crumbles",0.0402903370559215,Cheese
"1 cup TJ’s Organic Mixed Medley Cherry Tomatoes, sliced in half",Organic Mixed Medley Cherry Tomatoes,0.999765,1.0,1 cup,cup,0.999942,sliced in half,0.99797,Polenta & Veggie Stacks,Appetizers & Sides,Fresh,0.1424486935138702,Unknown,"Salads, Soups & Sides",0.1304199248552322,Fresh Prepared Foods,Shellfish,0.0503368191421031,Unknown
"1 can TJ’s Black Beans, drained",Black Beans,0.999076,1.0,1 can,can,0.999867,drained,0.996357,Dutch Oven Veggie Enchiladas,Lunch & Dinner,Fresh Vegetables,0.1664253771305084,Unknown,Fresh,0.1556540876626968,Unknown,Fresh Fruits,0.0961310118436813,Unknown
"½ cup TJ’s Dark Chocolate, chopped and melted",Dark Chocolate,0.998983,0.5,1/2 cups,cup,0.999966,chopped and melted,0.99876,Chocolate Almond Crescent Cookies,Desserts,Cream and Creamy Cheeses,0.0578013733029365,Cheese,Bakery,0.0535003095865249,Unknown,Sweet Stuff,0.0488720312714576,Bakery
"3 cups TJ’s Organic Tuscan Kale, destemmed",Organic Tuscan Kale,0.996662,3.0,3 cups,cup,0.999934,destemmed,0.997644,Risotto-Stuffed Delicata Squash,Dinner,Fresh,0.3443881273269653,Unknown,Cream and Creamy Cheeses,0.0686729624867439,Cheese,"Slices, Shreds, Crumbles",0.0585368052124977,Cheese
"1/2 cup grated TJ’s Black Pepper Toscano Cheese, divided",Black Pepper Toscano Cheese,0.994108,0.5,1/2 cups,cup,0.999771,"grated, divided",0.997829,Risotto-Stuffed Delicata Squash,Dinner,Cream and Creamy Cheeses,0.7895117402076721,Cheese,"Slices, Shreds, Crumbles",0.0396622233092784,Cheese,Fresh,0.0192728471010923,Unknown
"8 tablespoons TJ’s Unsalted Butter, melted and divided",Unsalted Butter,0.996791,8.0,8 tablespoons,tablespoon,0.999939,melted and divided,0.999953,Buttery Baked Cod,Dinner,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 package TJ’s 10 Minute Farro, cooked according to package instructions",10 Minute Farro,0.986623,1.0,1 package,package,0.999866,cooked according to package instructions,0.998101,Farro With Chicken Sausage & Apples,Dinner & Lunch,Fresh,0.0970131382346153,Unknown,Cool Desserts,0.0445272326469421,From The Freezer,Spices,0.0435330756008625,For the Pantry
"1 package TJ’s Sweet Italian Chicken Sausage, casings removed",Sweet Italian Chicken Sausage,0.998882,1.0,1 package,package,0.999824,casings removed,0.996511,Farro With Chicken Sausage & Apples,Dinner & Lunch,Fresh,0.2995525598526001,Unknown,Smoked or Processed,0.0890471562743187,Unknown,Cream and Creamy Cheeses,0.0416235253214836,Cheese
1 cup diced TJ’s Yellow Onion,Yellow Onion,0.972702,1.0,1 cup,cup,0.999597,diced,0.923135,Farro With Chicken Sausage & Apples,Dinner & Lunch,Fresh,0.2187245041131973,Unknown,Fresh Vegetables,0.1540579944849014,Unknown,Cream and Creamy Cheeses,0.0458050370216369,Cheese
