name,price,unit,url,page
Wild Nova Style Smoked Sockeye Salmon,$13.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/wild-nova-style-smoked-sockeye-salmon-078841,2
Organic Grass Fed Top Sirloin Steak,$8.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-grass-fed-top-sirloin-steak-079910,2
Organic Grass Fed Tenderloin Steak,$24.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-grass-fed-tenderloin-steak-079785,2
Organic Grass Fed NY Strip Steak Boneless,$13.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-grass-fed-ny-strip-steak-boneless-079783,2
Organic Grass Fed Ribeye Steak Boneless,$14.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-grass-fed-ribeye-steak-boneless-079782,2
Soppressata Uncured Salami,$5.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/soppressata-uncured-salami-077116,2
Uncured Beef Hot Dogs,$3.99,/11 Oz,https://www.traderjoes.com/home/products/pdp/uncured-beef-hot-dogs-079033,2
"Angus Chuck, Brisket & Sirloin Beef Patties",$11.99,/21.2 Oz,https://www.traderjoes.com/home/products/pdp/angus-chuck-brisket-sirloin-beef-patties-079580,2
Caramelized Onion & Bell Pepper Turkey Patties,$6.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/caramelized-onion-bell-pepper-turkey-patties-079720,2
Beef Rib Eye Steak,$15.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/beef-rib-eye-steak-056225,2
Organic Uncured Grass Fed Beef Hot Dogs,$5.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-uncured-grass-fed-beef-hot-dogs-076253,2
Grilled Chili Lime Chicken Breast,$7.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/grilled-chili-lime-chicken-breast-083524,2
Sliced Roast Beef,$6.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/sliced-roast-beef-078175,2
Sliced Applewood Smoked Uncured Ham,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/sliced-applewood-smoked-uncured-ham-078176,3
High Protein Organic Tofu,$2.79,/16 Oz,https://www.traderjoes.com/home/products/pdp/high-protein-organic-tofu-083089,3
Sliced Uncured Pepperoni,$3.99,/5 Oz,https://www.traderjoes.com/home/products/pdp/sliced-uncured-pepperoni-076905,3
Wild Caught Cod Fillets,$10.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/wild-caught-cod-fillets-074137,3
Blackened Salmon Seasoned Boneless Fillet,$10.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/blackened-salmon-seasoned-boneless-fillet-078215,3
Uncured Pastrami,$6.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/uncured-pastrami-086861,3
Chicken Meatballs,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/chicken-meatballs-074578,3
All Natural Shaved Beef Steak,$10.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/all-natural-shaved-beef-steak-057721,3
Wild Sockeye Smoked Salmon,$7.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/wild-sockeye-smoked-salmon-060442,3
Sun-Dried Tomato & Basil Chicken Tenders,$7.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/sun-dried-tomato-basil-chicken-tenders-098648,3
Savory Herbed Chicken Thighs,$6.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/savory-herbed-chicken-thighs-059461,3
Organic Free Range Boneless Skinless Thin Sliced Chicken Breast Fillets,$7.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-free-range-boneless-skinless-thin-sliced-chicken-breast-fillets-077563,3
Pesto Chicken Breast,$8.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/pesto-chicken-breast-093617,3
Extra Lean Ground Beef 96% Lean / 4% Fat,$8.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/extra-lean-ground-beef-96-lean-4-fat-026366,3
Ground Beef 80% lean /20% fat,$6.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/ground-beef-80-lean-20-fat-091082,3
Organic Firm Tofu,$1.99,/14 Oz,https://www.traderjoes.com/home/products/pdp/organic-firm-tofu-041911,4
Sliced Prosciutto,$4.29,/4 Oz,https://www.traderjoes.com/home/products/pdp/sliced-prosciutto-098861,4
Shawarma Chicken Thighs,$6.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/shawarma-chicken-thighs-060667,4
Uncured Dry Rubbed Sliced Bacon,$5.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/uncured-dry-rubbed-sliced-bacon-055478,4
Organic Hickory Smoked Turkey Breast,$5.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-hickory-smoked-turkey-breast-062667,4
Hot Italian Sausage made with Pork,$6.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/hot-italian-sausage-made-with-pork-066729,4
Sweet Italian Sausage made with Pork,$6.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/sweet-italian-sausage-made-with-pork-066728,4
Unexpected Cheddar Chicken Sausage,$4.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/unexpected-cheddar-chicken-sausage-074048,4
Organic Chicken Nuggets,$4.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-chicken-nuggets-067594,4
BBQ Cut Fresh Atlantic Salmon Fillets,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/bbq-cut-fresh-atlantic-salmon-fillets-024455,4
Fully Cooked Pork Belly,$6.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/fully-cooked-pork-belly-051460,4
Ground Beef Patties 80/20,$7.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/ground-beef-patties-8020-055923,4
Pollo Asado Autentico,$8.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/pollo-asado-autentico-081293,4
Organic Chicken Grill Pack,$3.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-chicken-grill-pack-097236,4
Spicy Jalapeño Chicken Sausage,$4.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/spicy-jalapeno-chicken-sausage-028285,4
Organic Chicken Grill Pack,$3.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-chicken-grill-pack-097236,5
Spicy Jalapeño Chicken Sausage,$4.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/spicy-jalapeno-chicken-sausage-028285,5
Balsamic Rosemary Beef Steak Tips,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/balsamic-rosemary-beef-steak-tips-061152,5
Argentinian Red Shrimp with Ginger Garlic Butter,$7.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/argentinian-red-shrimp-with-ginger-garlic-butter-070359,5
Organic Baked Tofu Teriyaki Flavor,$3.99,/7 Oz,https://www.traderjoes.com/home/products/pdp/organic-baked-tofu-teriyaki-flavor-030758,5
Gyro Slices,$4.69,/8 Oz,https://www.traderjoes.com/home/products/pdp/gyro-slices-055277,5
Organic 3 Grain Tempeh,$2.49,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-3-grain-tempeh-099125,5
All Natural Ground Chicken,$4.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/all-natural-ground-chicken-055562,5
Sesame Teriyaki Beef Skirt Steak,$16.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/sesame-teriyaki-beef-skirt-steak-072321,5
Uncured Apple Smoked Bacon,$6.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/uncured-apple-smoked-bacon-074911,5
Organic Ground Beef 85/15,$8.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-ground-beef-8515-092558,5
Organic Free Range Boneless Skinless Chicken Breasts,$7.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-free-range-boneless-skinless-chicken-breasts-063550,5
All Natural Fully Cooked Maple Chicken Breakfast Sausage,$4.69,/12 Oz,https://www.traderjoes.com/home/products/pdp/all-natural-fully-cooked-maple-chicken-breakfast-sausage-053893,5
Wild Raw Argentinian Red Shrimp,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/wild-raw-argentinian-red-shrimp-071696,5
Everything But The Bagel Seasoned Smoked Salmon,$5.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/everything-but-the-bagel-seasoned-smoked-salmon-063465,5
All Natural Fully Cooked Maple Chicken Breakfast Sausage,$4.69,/12 Oz,https://www.traderjoes.com/home/products/pdp/all-natural-fully-cooked-maple-chicken-breakfast-sausage-053893,6
Wild Raw Argentinian Red Shrimp,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/wild-raw-argentinian-red-shrimp-071696,6
Everything But The Bagel Seasoned Smoked Salmon,$5.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/everything-but-the-bagel-seasoned-smoked-salmon-063465,6
Spatchcocked Lemon Rosemary Chicken,$5.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/spatchcocked-lemon-rosemary-chicken-056660,6
Spicy Uncured Charcuterie Collection,$8.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/spicy-uncured-charcuterie-collection-063527,6
Organic Free Range Chicken Drumsticks,$2.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-free-range-chicken-drumsticks-099264,6
Choice Premium Angus Beef Flank Steak,$14.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/choice-premium-angus-beef-flank-steak-056218,6
Branzino Fillets European Sea Bass,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/branzino-fillets-european-sea-bass-069341,6
Carne Asada Autentica,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/carne-asada-autentica-081909,6
All Natural Bone-In Skin-On Chicken Thighs,$1.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/all-natural-bone-in-skin-on-chicken-thighs-061046,6
Organic Sweet Italian Chicken Sausage,$5.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-sweet-italian-chicken-sausage-060335,6
Organic Oven Roasted Turkey Breast,$5.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-oven-roasted-turkey-breast-060185,6
Soy Chorizo,$2.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/soy-chorizo-092463,6
Sesame Crusted Hardwood Smoked Ahi Tuna,$6.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/sesame-crusted-hardwood-smoked-ahi-tuna-068227,6
,,,,6
