original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence
"1 TJ’s Fresh Fennel bulb, cut into thick slices, reserve the fronds",Fresh Fennel bulb,0.838381,1.0,1,,0.971165,"cut into thick slices, reserve the fronds",0.969875
"1 TJ’s Lemon, sliced into thick rounds",Lemon,0.993448,1.0,1,,0.999095,sliced into thick rounds,0.999583
"1 TJ’s Orange, sliced into thick rounds",Orange,0.992673,1.0,1,,0.999114,sliced into thick rounds,0.999741
TJ’s Rainbow Peppercorns,Rainbow Peppercorns,0.997476,,,,,,
4 TJ’s All Natural Bone-In Skin-On Chicken Thighs,All Natural Bone-In Skin-On Chicken Thighs,0.999168,4.0,4,,0.999056,,
"2 TJ's Frenched, Bone-In, Center-Cut Pork Loin Chops","Frenched Bone-In, Center-Cut Pork Loin Chops",0.8520875,2.0,2,,0.998728,,
"3/4 cup TJ's Soyaki, divided",Soyaki,0.998752,0.75,3/4 cups,cup,0.999952,divided,0.999623
"1 TJ's Pineapple, cut into wedges",Pineapple,0.994561,1.0,1,,0.999594,cut into wedges,0.998737
2 TJ's Prosciutto Wrapped Fresh Mozzarella Cheese sticks,Prosciutto Wrapped Fresh Mozzarella Cheese sticks,0.997072,2.0,2,,0.999023,,
"3 TJ’s Zucchini, sliced into thin planks",Zucchini,0.993009,3.0,3,,0.998971,sliced into thin planks,0.999666
TJ’s Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,0.996985,,,,,,
"1 block TJ’s Authentic Greek Feta In Brine, crumbled",Authentic Greek Feta In Brine,0.995414,1.0,1 block,block,0.999628,crumbled,0.997932
"1 head TJ’s Cauliflower, sliced into thick planks, core intact",Cauliflower,0.997164,1.0,1 head,head,0.999654,"sliced into thick planks, core intact",0.89747
TJ’s Hot Honey Mustard Dressing,Hot Honey Mustard Dressing,0.999189,,,,,,
"4 firm TJ’s Heirloom Tomatoes, sliced into thick rounds",firm Heirloom Tomatoes,0.996005,4.0,4,,0.999391,sliced into thick rounds,0.998662
½ - 1 cup TJ’s Organic Ranch Dressing,Organic Ranch Dressing,0.99899,0.5,1/2-1 cup,cup,0.999963,,
1 - 2 cups TJ’s Japanese Style Panko Breadcrumbs,Japanese Style Panko Breadcrumbs,0.998606,1.0,1-2 cup,cup,0.999985,,
TJ’s Black Peppercorns,Black Peppercorns,0.990077,,,,,,
TJ’s 100% Canola Oil,100% Canola Oil,0.956101,,,,,,
1 cup TJ’s Traditional Whole Milk Ricotta Cheese,Traditional Whole Milk Ricotta Cheese,0.998144,1.0,1 cup,cup,0.999959,,
"1 package TJ’s Steamed & Peeled Baby Beets, warmed according to package instructions, if desired, and sliced into thin rounds",Steamed & Peeled Baby Beets,0.981279,1.0,1 package,package,0.999603,"warmed according to package instructions, and sliced into thin rounds",0.998281
"A handful TJ’s Raw Pistachio Nutmeats, roughly chopped",Raw Pistachio Nutmeats,0.992166,,handful,handful,0.996638,roughly chopped,0.996294
1 pound TJ’s Spaghetti,Spaghetti,0.997401,1.0,1 pound,pound,0.999959,,
"1 block TJ’s Organic Silken Tofu, drained",Organic Silken Tofu,0.997356,1.0,1 block,block,0.998173,drained,0.998737
"1/3 cup TJ’s Nutritional Yeast, plus more for sprinkling",Nutritional Yeast,0.997676,0.3333333333333333,1/3 cups,cup,0.999966,,
3 tablespoons TJ’s White Miso Paste,White Miso Paste,0.996338,3.0,3 tablespoons,tablespoon,0.999967,,
¼ cup juice from fresh TJ’s Lemons,juice from fresh Lemons,0.978175,0.25,1/4 cups,cup,0.999829,,
"A few heavy cranks of TJ’s Black Peppercorns, plus more for serving",A few heavy cranks of Black Peppercorns,0.989265,,,,,,
"1 1/4 cup TJ’s Tiny Fruity Cuties, divided",Tiny Fruity Cuties,0.999634,1.25,1 1/4 cups,cup,0.999961,divided,0.999606
TJ’s Pitted Amarena Cherries with Stems in Syrup,Pitted Amarena Cherries with Stems in Syrup,0.998464,,,,,,
1 cup or 3 big scoops TJ’s French Vanilla Ice Cream,,,1.0,1 cup,cup,0.999868,,
½ cup TJ’s Whole Milk,Whole Milk,0.994462,0.5,1/2 cups,cup,0.999981,,
TJ’s Whipped Cream,Whipped Cream,0.997966,,,,,,
1 box TJ’s Cornbread Mix,Cornbread Mix,0.997159,1.0,1 box,box,0.999759,,
2 tablespoons TJ’s All-Purpose Flour,All-Purpose Flour,0.999574,2.0,2 tablespoons,tablespoon,0.999971,,
"2 tablespoons TJ’s French Vanilla Ice Cream, plus plenty more for scooping",French Vanilla Ice Cream,0.999713,2.0,2 tablespoons,tablespoon,0.999911,,
6 tablespoons TJ’s Multi-Floral & Clover Honey,Multi-Floral & Clover Honey,0.994311,6.0,6 tablespoons,tablespoon,0.999958,,
"1 package TJ’s Gochujang, for rolling",Gochujang,0.99688,1.0,1 package,package,0.999919,,
1 (eight ounce) bag TJ’s Strawberry & Watermelon Marshmallows,Strawberry & Watermelon Marshmallows,0.981524,1.0,1 bag,bag,0.999742,,
6 cups TJ’s Strawberry Yogurt O’s,Strawberry Yogurt O’s,0.999084,6.0,6 cups,cup,0.999974,,
"1 box TJ’s Frozen Pie Crusts, thawed at room temperature for 2 hours",Frozen Pie Crusts,0.998907,1.0,1 box,box,0.998918,thawed at room temperature for 2 hours,0.999521
"5 cups of your favorite TJ’s Berries, (we use a mix of fresh Blueberries, Raspberries, and Blackberries)",your favorite Berries,0.691204,5.0,5 cups,cup,0.998735,,
1 cup TJ’s Organic Cane Sugar,Organic Cane Sugar,0.998384,1.0,1 cup,cup,0.999972,,
1 tablespoon chopped TJ’s Fresh Thyme,Fresh Thyme,0.972148,1.0,1 tablespoon,tablespoon,0.999708,chopped,0.972646
"TJ’s Heavy Cream, for brushing on crust; and to whip up for topping (optional but encouraged!)",Heavy Cream,0.988512,,,,,and to whip up for topping,0.690536
"TJ’s Turbinado Raw Cane Sugar, for sprinkling",Turbinado Raw Cane Sugar,0.990959,,,,,,
1/2 cup TJ's Creamy Salted Almond Butter,Creamy Salted Almond Butter,0.999644,0.5,1/2 cups,cup,0.999952,,
2 tablespoons juice from a TJ’s Lime,juice from a Lime,0.994049,2.0,2 tablespoons,tablespoon,0.999958,,
1 ½ tablespoons TJ’s Organic Blue Agave Syrup,Organic Blue Agave Syrup,0.998812,1.5,1 1/2 tablespoons,tablespoon,0.999967,,
¼-½ teaspoon TJ’s Organic Crushed Red Pepper,Organic Crushed Red Pepper,0.999745,0.25,1/4-1/2 teaspoon,teaspoon,0.999969,,
2-3 tablespoons TJ’s Chile Lime Seasoning Blend,Chile Lime Seasoning Blend,0.997057,2.0,2-3 tablespoon,tablespoon,0.999966,,
"1 TJ’s Lime, sliced into wedges",Lime,0.990239,1.0,1,,0.999516,sliced into wedges,0.99812
"1 TJ’s Jalapeño, thinly sliced",Jalapeño,0.994274,1.0,1,,0.999286,thinly sliced,0.998746
2 TJ’s Mango Cream Bars,Mango Cream Bars,0.993042,2.0,2,,0.998201,,
1 can TJ’s Lime Sparkling Water,Lime Sparkling Water,0.996531,1.0,1 can,can,0.999919,,
"1 TJ’s Ciabatta Demi-Baguette, sliced in half lengthwise, then cut in half widthwise, on a bias, to make two sandwiches",Ciabatta Demi-Baguette,0.994341,1.0,1,,0.99697,"sliced in half lengthwise, then cut in half widthwise",0.997989
"1 wedge TJ’s Triple Creme Brie, cut into 8 slices",Triple Creme Brie,0.99306,1.0,1 wedge,wedge,0.988541,cut into 8 slices,0.999932
"4 slices of your favorite TJ’s Bacon, cooked according to package instructions",your favorite Bacon,0.95159,4.0,4 slices,slices,0.99889,cooked according to package instructions,0.996533
8 slices of your favorite TJ’s Apple,your favorite Apple,0.955378,8.0,8 slices,slices,0.999416,,
1 package TJ’s Carne Asada Authentica,Carne Asada Authentica,0.999433,1.0,1 package,package,0.999896,,
1 bag TJ’s Baby Lettuce Mix,Baby Lettuce Mix,0.999571,1.0,1 bag,bag,0.99991,,
"1 bag TJ’s Roasted Corn, prepared according to package instructions",Roasted Corn,0.992658,1.0,1 bag,bag,0.999786,prepared according to package instructions,0.986951
1 cup halved TJ’s Mini Grape Tomatoes,Mini Grape Tomatoes,0.979744,1.0,1 cup,cup,0.999689,halved,0.922493
½ cup crumbled Cotija Cheese,Cotija Cheese,0.995074,0.5,1/2 cups,cup,0.999693,crumbled,0.992779
"¼ TJ’s Red Onion, thinly sliced",Red Onion,0.995585,0.25,1/4,,0.999262,thinly sliced,0.998088
½ to ⅔ cup TJ’s Cilantro Dressing,Cilantro Dressing,0.999129,0.5,1/2-2/3 cup,cup,0.999979,,
3 tablespoons of your favorite TJ’s Olive Oil,your favorite Olive Oil,0.983474,3.0,3 tablespoons,tablespoon,0.999415,,
"1 package TJ’s Angus Chuck, Brisket, & Sirloin 1/3 lb. Ground Beef Patties","Angus Chuck Brisket, & Sirloin 1/3 lb Ground Beef Patties",0.809075,1.0,1 package,package,0.999783,,
"1 wedge TJ’s Triple Cream Soft Ripened Cambozola® Blue Cheese, sliced into rectangles",Triple Cream Soft Ripened Cambozola® Blue Cheese,0.99449,1.0,1 wedge,wedge,0.983101,sliced into rectangles,0.998467
4 TJ’s Brioche Buns,Brioche Buns,0.996098,4.0,4,,0.998502,,
TJ’s Fig Butter,Fig Butter,0.996556,,,,,,
TJ’s Arugula,Arugula,0.998407,,,,,,
1 tub TJ’s Part Skim Ricotta,Part Skim Ricotta,0.996826,1.0,1 tub,tub,0.999853,,
½ cup TJ’s Grated Pecorino Romano & Parmesan Cheese Blend,Grated Pecorino Romano & Parmesan Cheese Blend,0.991193,0.5,1/2 cups,cup,0.999945,,
½ cup chopped TJ’s Fresh Basil,Fresh Basil,0.97776,0.5,1/2 cups,cup,0.999776,chopped,0.979338
1 jar (24.3 ounces) TJ’s Caro Sugo Italian Tomato Basil Pasta Sauce,Caro Sugo Italian Tomato Basil Pasta Sauce,0.998458,1.0,1 jar,jar,0.998945,,
TJ’s Shredded Mozzarella Cheese,Shredded Mozzarella Cheese,0.988917,,,,,,
1 package TJ’s Baby Broccoli,Baby Broccoli,0.999444,1.0,1 package,package,0.999922,,
Juice of ½ a TJ’s Lemon,a Lemon,0.356125,0.5,1/2,,0.938844,Juice of,0.957375
TJ’s Creamy Dreamy Hummus,Creamy Dreamy Hummus,0.997573,,,,,,
¼ cup TJ’s Crumbled Feta Cheese with Mediterranean Herbs,Crumbled Feta Cheese with Mediterranean Herbs,0.999577,0.25,1/4 cups,cup,0.999963,,
"1 TJ’s Chevre Goat's Milk Cheese, sliced into 6 medallions, then chilled until ready to use",Chevre Goat's Milk Cheese,0.998036,1.0,1,,0.996625,"sliced into 6 medallions, then chilled until ready to use",0.994795
1 teaspoon TJ’s Green Goddess Spice Blend,Green Goddess Spice Blend,0.99966,1.0,1 teaspoon,teaspoon,0.999958,,
3 tablespoons TJ’s Olive Oil,Olive Oil,0.999673,3.0,3 tablespoons,tablespoon,0.999977,,
TJ’s Organic Extra Virgin Olive Oil Spray,Organic Extra Virgin Olive Oil Spray,0.997641,,,,,,
1 package TJ’s Homestyle Angus Beef Meatballs,Homestyle Angus Beef Meatballs,0.999519,1.0,1 package,package,0.999873,,
2 cups of your favorite TJ’s Marinara Sauce,your favorite Marinara Sauce,0.980429,2.0,2 cups,cup,0.999736,,
"3 TJ’s Sandwich Rolls, sliced lengthwise, leaving one edge intact",Sandwich Rolls,0.996122,3.0,3,,0.996211,sliced lengthwise,0.997613
3 slices TJ’s Sliced Provolone,Sliced Provolone,0.940954,3.0,3 slices,slices,0.999906,,
1 bag TJ’s Organic Shredded Green & Red Cabbage with Orange Carrots,Organic Shredded Green & Red Cabbage with Orange Carrots,0.99241,1.0,1 bag,bag,0.999624,,
"½ TJ’s Yellow Onion, thinly sliced",Yellow Onion,0.995382,0.5,1/2,,0.998639,thinly sliced,0.998155
¼ cup chopped TJ’s Hot & Sweet Jalapeño Peppers,Hot & Sweet Jalapeño Peppers,0.98458,0.25,1/4 cups,cup,0.998808,chopped,0.997824
½ cup TJ’s Raw Apple Cider Vinegar,Raw Apple Cider Vinegar,0.998839,0.5,1/2 cups,cup,0.999977,,
2 teaspoons TJ’s Organic Oregano,Organic Oregano,0.999195,2.0,2 teaspoons,teaspoon,0.999959,,
1 block TJ’s Organic Tofu,Organic Tofu,0.997811,1.0,1 block,block,0.999184,,
½ heaping teaspoon TJ’s Organic Ground Turmeric,Organic Ground Turmeric,0.998878,0.5,1/2 heaping teaspoons,heaping teaspoons,0.996851,,
¼ teaspoon TJ’s California Garlic Powder,California Garlic Powder,0.997577,0.25,1/4 teaspoons,teaspoon,0.999959,,
¼ teaspoon TJ’s California Onion Powder,California Onion Powder,0.999247,0.25,1/4 teaspoons,teaspoon,0.99996,,
¼ teaspoon TJ’s Black Pepper,Black Pepper,0.997566,0.25,1/4 teaspoons,teaspoon,0.999945,,
"8 TJ’s Organic Mini Flour Tortillas, warmed",Organic Mini Flour Tortillas,0.994987,8.0,8,,0.997227,warmed,0.99969
"2 TJ’s Avocados, sliced",Avocados,0.992509,2.0,2,,0.999274,sliced,0.998393
TJ’s Pico de Gallo,Pico de Gallo,0.997805,,,,,,
TJ’s Cilantro,Cilantro,0.997194,,,,,,
"2 TJ’s Limes, sliced into wedges",Limes,0.992017,2.0,2,,0.999326,sliced into wedges,0.998774
1 bag TJ’s Organic Baby Lettuce,Organic Baby Lettuce,0.995816,1.0,1 bag,bag,0.999664,,
"2 TJ’s Blood Oranges, peeled and sliced into thin rounds",Blood Oranges,0.970287,2.0,2,,0.998148,peeled and sliced into thin rounds,0.999921
"1 bulb TJ’s Fennel, thinly sliced",Fennel,0.996409,1.0,1 bulb,bulb,0.999409,thinly sliced,0.998553
"1 TJ’s Avocado, skin removed and sliced",Avocado,0.974663,1.0,1,,0.99843,skin removed and sliced,0.999719
"1/2 cup TJ’s Roasted & Salted Pecan Halves, roughly chopped",Roasted & Salted Pecan Halves,0.990957,0.5,1/2 cups,cup,0.999961,roughly chopped,0.998549
¼ cup TJ’s Organic Crumbled Feta Cheese,Organic Crumbled Feta Cheese,0.999496,0.25,1/4 cups,cup,0.999971,,
¼ cup TJ’s Balsamic Vinaigrette,Balsamic Vinaigrette,0.999421,0.25,1/4 cups,cup,0.999977,,
1 can TJ's Lentils,Lentils,0.989831,1.0,1 can,can,0.999789,,
2 teaspoons TJ’s Taco Seasoning Mix,Taco Seasoning Mix,0.999555,2.0,2 teaspoons,teaspoon,0.999969,,
8 TJ’s Corn Tortillas,Corn Tortillas,0.996152,8.0,8,,0.999069,,
"1 cup diced TJ’s Bell Peppers, one color or an array)",Bell Peppers,0.997914,1.0,1 cup,cup,0.999336,diced,0.996037
TJ’s Cilantro Salad Dressing,Cilantro Salad Dressing,0.996571,,,,,,
"A handful of TJ’s Fresh Cilantro leaves, for garnish",Fresh Cilantro leaves,0.98072,,handful,handful,0.975995,,
1 package (12 ounces) TJ's Organic Red Cherry Tomatoes,Organic Red Cherry Tomatoes,0.996028,1.0,1 package,package,0.999351,,
"1 cup dried TJ's Organic White Quinoa, prepared according to package instructions",dried Organic White Quinoa,0.99539,1.0,1 cup,cup,0.999948,prepared according to package instructions,0.983477
1 bottle TJ's Thai Style Yellow Curry Sauce,Thai Style Yellow Curry Sauce,0.999311,1.0,1 bottle,bottle,0.999525,,
"1 cans TJ's Organic Garbanzo Beans, drained",Organic Garbanzo Beans,0.998987,1.0,1 can,can,0.999597,drained,0.995565
1/2 bag TJ's Organic Baby Spinach,Organic Baby Spinach,0.997597,0.5,1/2 bags,bag,0.99963,,
"4 of your favorite TJ's Bagels, sliced in half",your favorite Bagels,0.938666,4.0,4,,0.992288,sliced in half,0.998215
1 tub TJ's Whipped Cream Cheese,Whipped Cream Cheese,0.999355,1.0,1 tub,tub,0.999616,,
1 package TJ's Wild Sockeye Smoked Salmon,Wild Sockeye Smoked Salmon,0.999779,1.0,1 package,package,0.999948,,
"2 TJ's Persian Cucumbers, thinly sliced",Persian Cucumbers,0.995391,2.0,2,,0.999628,thinly sliced,0.998908
"TJ's Capers, drained",Capers,0.995552,,,,,drained,0.997709
"A few sprigs TJ's Fresh Dill, for garnish",Fresh Dill,0.965442,,few sprigs,sprigs,0.881148,,
1 bag TJ’s Freeze Dried Fig Slices,Freeze Dried Fig Slices,0.99783,1.0,1 bag,bag,0.999731,,
"¼ block TJ’s Unexpected Cheddar, sliced into bite-sized rectangles",Unexpected Cheddar,0.998993,0.25,1/4 blocks,blocks,0.999769,sliced into bite-sized rectangles,0.999844
1 ½ cups TJ’s Organic Unfiltered Apple Juice,Organic Unfiltered Apple Juice,0.997339,1.5,1 1/2 cups,cup,0.99997,,
1 cup TJ’s Rolled Oats,Rolled Oats,0.995252,1.0,1 cup,cup,0.999964,,
1 teaspoon TJ’s Organic Ground Cinnamon,Organic Ground Cinnamon,0.999674,1.0,1 teaspoon,teaspoon,0.999904,,
"1/2 Jumbo Yellow Onion, diced",Jumbo Yellow Onion,0.723526,0.5,1/2,,0.99802,diced,0.998229
"2 medium-sized Sweet Potatoes, peeled and cubed",Sweet Potatoes,0.975701,2.0,2,,0.99974,peeled and cubed,0.999875
1/2 cup TJ's Pearled Couscous,Pearled Couscous,0.999543,0.5,1/2 cups,cup,0.999975,,
6 cups TJ's Low Sodium Vegetable Broth,Low Sodium Vegetable Broth,0.999779,6.0,6 cups,cup,0.999977,,
2-3 teaspoons TJ's Taco Seasoning,Taco Seasoning,0.998607,2.0,2-3 teaspoon,teaspoon,0.999971,,
1/2 bag TJ's Organic Tuscan Kale,Organic Tuscan Kale,0.998035,0.5,1/2 bags,bag,0.999376,,
"TJ's Salt & Pepper, to taste",Salt & Pepper,0.961253,,,,,,
Your favorite TJ’s crusty bread,Your favorite crusty bread,0.989281,,,,,,
"2 TJ’s Shiitake Mushrooms, sliced",Shiitake Mushrooms,0.99841,2.0,2,,0.999523,sliced,0.998599
1 TJ’s Miso Ramen Cup,Miso Ramen Cup,0.985403,1.0,1,,0.999014,,
"1 TJ’s Baby Bok Choy, sliced in half and roughly chopped",Baby Bok Choy,0.995187,1.0,1,,0.997798,sliced in half and roughly chopped,0.999978
"TJ’s Furikake, for sprinkling",Furikake,0.996037,,,,,,
1 container TJ’s Mirepoix,Mirepoix,0.994049,1.0,1 container,container,0.996599,,
"4 cloves TJ’s Garlic, smashed",Garlic,0.991722,4.0,4 cloves,cloves,0.994326,smashed,0.998648
1 carton TJ’s Organic Free Range Chicken Broth,Organic Free Range Chicken Broth,0.98872,1.0,1 carton,carton,0.967211,,
"1 cheese rind from a block of your favorite TJ’s Parmesan, optional",cheese rind from a block of your favorite Parmesan,0.993026,1.0,1,,0.991805,,
2 cups TJ’s Spinach Tortellini,Spinach Tortellini,0.998612,2.0,2 cups,cup,0.999969,,
"Grated TJ’s Parmesan, to serve",Parmesan,0.970742,,,,,Grated,0.955811
"A handful of chopped TJ's Fresh Parsley, for ganish",Fresh Parsley,0.91965,,handful,handful,0.989352,chopped,0.75369
"1 TJ’s Pizza Dough, left to sit at room temperature for 20 minutes",Pizza Dough,0.996134,1.0,1,,0.998021,left to sit at room temperature for 20 minutes,0.999466
"TJ's Unbleached Enriched All-Purpose Flour, for dusting",Unbleached Enriched All-Purpose Flour,0.995202,,,,,,
"½ cup TJ’s Yangnyeom Sauce, plus more for drizzling",Yangnyeom Sauce,0.998502,0.5,1/2 cups,cup,0.99997,,
1 ½ cups TJ’s Shredded Pepper Jack Cheese,Shredded Pepper Jack Cheese,0.954096,1.5,1 1/2 cups,cup,0.999952,,
"1/2 package TJ’s Spicy Chicken Nuggets, sliced into thirds",Spicy Chicken Nuggets,0.999156,0.5,1/2 packages,packages,0.999908,sliced into thirds,0.998786
1 wheel TJ’s Double Cream Brie,Double Cream Brie,0.999147,1.0,1 wheel,wheel,0.999473,,
"1/3 cup TJ’s Walnuts, roughly chopped",Walnuts,0.996884,0.3333333333333333,1/3 cups,cup,0.999974,roughly chopped,0.998344
"Your favorite TJ's crackers or a TJ's Organic Baguette, for serving",Your favorite crackers a Organic Baguette,0.8944715,,,,,,
"1/2 cup finely grated TJ’s Pecorino Romano Cheese, plus more for serving",Pecorino Romano Cheese,0.996398,0.5,1/2 cups,cup,0.999921,finely grated,0.999859
"3 whole TJ’s Large Eggs, plus 2 yolks",whole Large Eggs,0.996176,3.0,3,,0.999343,,
1 pound TJ’s Organic Spaghetti Triangoletti Pasta,Organic Spaghetti Triangoletti Pasta,0.998581,1.0,1 pound,pound,0.999939,,
"½ package TJ’s Uncured Apple Smoked Bacon, chopped into thin strips and cooked until crispy (ensure this step is complete before the pasta water comes to a boil)",Uncured Apple Smoked Bacon,0.999382,0.5,1/2 packages,packages,0.999759,chopped into thin strips and cooked until crispy,0.999778
1 ½ cups shredded TJ’s Fontina Cheese,Fontina Cheese,0.974777,1.5,1 1/2 cups,cup,0.999535,shredded,0.926418
"1 package TJ’s Shrimp Scampi, prepared according to package instructions",Shrimp Scampi,0.999333,1.0,1 package,package,0.999728,prepared according to package instructions,0.9775
3/4 cup TJ’s Organic Raw Apple Cider Vinegar,Organic Raw Apple Cider Vinegar,0.997638,0.75,3/4 cups,cup,0.999955,,
1 box TJ’s Joe's Diner Mac n' Cheese,Joe's Diner Mac n' Cheese,0.99927,1.0,1 box,box,0.999687,,
½ cup TJ’s Pepper Jack Cheese Blend,Pepper Jack Cheese Blend,0.999453,0.5,1/2 cups,cup,0.999964,,
¼ cup crushed TJ’s Tortilla Chips,Tortilla Chips,0.949068,0.25,1/4 cups,cup,0.999614,crushed,0.845231
TJ’s Hot Pico de Gallo,Hot Pico de Gallo,0.997775,,,,,,
"1 short stalk TJ’s Green Onions, chopped",short stalk Green Onions,0.932434,1.0,1,,0.999309,chopped,0.998759
2 cartons TJ's Organic Free Range Chicken Broth,cartons Organic Free Range Chicken Broth,0.890227,2.0,2,,0.997657,,
2 tubs TJ's Mediterranean Style Orzo Pasta Salad,Mediterranean Style Orzo Pasta Salad,0.999575,2.0,2 tubs,tubs,0.999746,,
"1 package TJ's Lemon Pepper Grilled Chicken, sliced into bite-sized pieces",Lemon Pepper Grilled Chicken,0.998741,1.0,1 package,package,0.9995,sliced into bite-sized pieces,0.999956
1 cup TJ’s Organic Non-Dairy Unsweetened Coconut Beverage,Organic Non-Dairy Unsweetened Coconut Beverage,0.998738,1.0,1 cup,cup,0.999947,,
¼ cup TJ’s Organic Chia Seeds,Organic Chia Seeds,0.998698,0.25,1/4 cups,cup,0.999972,,
¼ cup TJ’s Organic Raspberries,Organic Raspberries,0.998611,0.25,1/4 cups,cup,0.999968,,
"1/2 cup TJ's Milk, heated to 110-115°F",Milk,0.999192,0.5,1/2 cups,cup,0.999967,heated to 110-115°F,0.983537
"1/4 cup TJ's Organic Powdered Cane Sugar, plus more for dusting",Organic Powdered Cane Sugar,0.998892,0.25,1/4 cups,cup,0.999953,,
1/2 tablespoon SAF Active Dry Perfect Rise Yeast,SAF Active Dry Perfect Rise Yeast,0.9986,0.5,1/2 tablespoons,tablespoon,0.999921,,
1/2 teaspoon TJ's Organic Pure Bourbon Vanilla Extract,Organic Pure Bourbon Vanilla Extract,0.998518,0.5,1/2 teaspoons,teaspoon,0.999935,,
