ingredient_id,ingredient_name,norm_name,matched_product,match_score,unit,category
27,TJ’s Organic Crescent Rolls,crescent rolls,Organic Crescent Rolls,1.0000001,8 Oz,Fresh Prepared Foods
28,"TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks",new zealand sharp cheddar cheese,New Zealand Sharp Cheddar Cheese,1.0,1 Lb,Cheese
29,TJ’s Apple Pie Spread,apple pie spread,apple pie spread,0.76757896,,Bakery
30,"TJ’s Apple Chip Duo, crushed",apple chip duo,apple chip duo,0.50866145,,Snacks & Sweets
31,"TJ’s Egg, beaten",egg,egg,0.69218194,,From the Freezer
32,"TJ’s Unsalted Butter, for greasing pan",butter,butter,0.6917406,,Dairy & Eggs
33,TJ’s Large Eggs,eggs,eggs,0.63310754,,From the Freezer
34,TJ’s Brown Sugat Oat Creamer,brown sugat oat creamer,brown sugat oat creamer,0.7425063,,Dairy & Eggs
35,"TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise",sliced apple cinnamon sourdough bread,Sliced Apple Cinnamon Sourdough Bread,1.0,17.63 Oz,Bakery
36,"TJ’s Apple (your favorite varietal), chopped",apple,apple,0.52629113,,Bakery
37,"TJ’s Fleur de Sel Caramel Sauce, for drizzling",fleur sel caramel sauce,fleur sel caramel sauce,0.7071636,,Fresh Prepared Foods
38,TJ’s Extra Virgin Olive Oil,extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.9999998,33.8 Fl Oz,For the Pantry
39,"TJ’s Fresh Fennel bulb, cut into thick slices, reserve the fronds",fennel bulb,fennel bulb,0.77692664,,Fresh Fruits & Veggies
40,"TJ’s Lemon, sliced into thick rounds",lemon,lemon,0.771699,,For the Pantry
41,"TJ’s Orange, sliced into thick rounds",orange,orange,0.7316988,,Fresh Fruits & Veggies
42,"TJ’s Fresh Garlic, skin on",garlic,garlic,0.7989736,,Snacks & Sweets
43,TJ’s Rainbow Peppercorns,rainbow peppercorns,rainbow peppercorns,0.64904815,,For the Pantry
44,TJ’s All Natural Bone-In Skin-On Chicken Thighs,bone-in skin-on chicken thighs,All Natural Bone-In Skin-On Chicken Thighs,1.0000007,1 Lb,"Meat, Seafood & Plant-Based"
45,"TJ's Frenched, Bone-In, Center-Cut Pork Loin Chops",frenched,frenched,0.56856936,,Bakery
46,"TJ's Soyaki, divided",soyaki,Soyaki,1.0000004,21 Oz,"Dips, Sauces & Dressings"
47,"TJ's Pineapple, cut into wedges",pineapple,Pineapple,1.0,1 Each,Fresh Fruits & Veggies
48,TJ's Prosciutto Wrapped Fresh Mozzarella Cheese sticks,prosciutto wrapped mozzarella cheese sticks,Prosciutto Wrapped Fresh Mozzarella Cheese,0.90277845,5 Oz,Fresh Prepared Foods
49,"TJ’s Zucchini, sliced into thin planks",zucchini,zucchini,0.7347751,,For the Pantry
50,TJ’s Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,crunchy sesame sunflower seeds pepitas salsa macha,Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,1.0,6 Oz,"Dips, Sauces & Dressings"
51,"TJ’s Authentic Greek Feta In Brine, crumbled",authentic greek feta brine,authentic greek feta brine,0.59507996,,Cheese
52,TJ’s Lemon,lemon,lemon,0.771699,,For the Pantry
53,"TJ’s Cauliflower, sliced into thick planks, core intact",cauliflower,Organic Riced Cauliflower,0.8520148,12 Oz,From the Freezer
54,TJ’s Hot Honey Mustard Dressing,hot honey mustard dressing,Hot Honey Mustard Dressing,0.9999998,12 Fl Oz,"Dips, Sauces & Dressings"
55,"TJ’s Heirloom Tomatoes, sliced into thick rounds",heirloom tomatoes,heirloom tomatoes,0.77424186,,Fresh Fruits & Veggies
56,TJ’s Organic Ranch Dressing,ranch,Organic Ranch Dressing,1.0,16 Fl Oz,"Dips, Sauces & Dressings"
57,TJ’s Japanese Style Panko Breadcrumbs,japanese style panko breadcrumbs,japanese style panko breadcrumbs,0.6016109,,For the Pantry
58,TJ’s Black Peppercorns,black peppercorns,Black Peppercorns with Grinder,0.82913077,1.8 Oz,For the Pantry
59,TJ’s 100% Canola Oil,canola oil,Organic Canola Oil Spray,0.84832,4.73 Oz,For the Pantry
60,TJ’s Traditional Whole Milk Ricotta Cheese,traditional whole milk ricotta cheese,Traditional Whole Milk Ricotta Cheese,0.9999999,16 Oz,Cheese
61,"TJ’s Steamed & Peeled Baby Beets, warmed according to package instructions, if desired, and sliced into thin rounds",steamed & peeled baby beets,Steamed & Peeled Baby Beets,1.0000001,8 Oz,Fresh Fruits & Veggies
62,"TJ’s Raw Pistachio Nutmeats, roughly chopped",pistachio nutmeats,pistachio nutmeats,0.67850995,,Snacks & Sweets
63,"TJ’s Extra Virgin Olive Oil, for drizzling",extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.99999994,33.8 Fl Oz,For the Pantry
64,TJ’s Spaghetti,spaghetti,Spaghetti,0.9999998,1 Lb,For the Pantry
65,"TJ’s Organic Silken Tofu, drained",silken tofu,Organic Silken Tofu,1.0,16 Oz,"Meat, Seafood & Plant-Based"
66,"TJ’s Nutritional Yeast, plus more for sprinkling",nutritional yeast,Nutritional Yeast,1.0000001,4 Oz,For the Pantry
67,TJ’s White Miso Paste,white miso paste,White Miso Paste,1.0000002,5.3 Oz,For the Pantry
68,TJ’s Lemons,lemons,lemons,0.7639488,,Fresh Fruits & Veggies
69,"TJ’s Black Peppercorns, plus more for serving",black peppercorns,Black Peppercorns with Grinder,0.82913077,1.8 Oz,For the Pantry
70,"TJ’s Tiny Fruity Cuties, divided",fruity cuties,Tiny Fruity Cuties Cereal,0.8068971,16 Oz,For the Pantry
71,TJ’s Pitted Amarena Cherries with Stems in Syrup,amarena cherries with stems in syrup,amarena cherries with stems in syrup,0.57875603,,Snacks & Sweets
72,TJ’s French Vanilla Ice Cream,french vanilla ice cream,French Vanilla Ice Cream,0.9999995,1 Qt,From the Freezer
73,TJ’s Whole Milk,whole milk,whole milk,0.6537094,,Dairy & Eggs
74,TJ’s Whipped Cream,whipped cream,Whipped Cream Cheese,0.8553049,8 Oz,Cheese
75,TJ’s Cornbread Mix,cornbread mix,Cornbread Mix,1.0,15 Oz,For the Pantry
76,TJ’s All-Purpose Flour,all-purpose flour,Unbleached Enriched All-Purpose Flour,0.9999998,5 Lb,For the Pantry
77,"TJ’s French Vanilla Ice Cream, plus plenty more for scooping",french vanilla ice cream,French Vanilla Ice Cream,0.9999995,1 Qt,From the Freezer
78,TJ’s Multi-Floral & Clover Honey,multi-floral & clover honey,Multi-Floral & Clover Honey,1.0000001,12 Oz,For the Pantry
79,"TJ’s Gochujang, for rolling",gochujang,gochujang,0.78435,,"Dips, Sauces & Dressings"
80,TJ’s Strawberry & Watermelon Marshmallows,strawberry & watermelon marshmallows,strawberry & watermelon marshmallows,0.6626342,,Fresh Fruits & Veggies
81,TJ’s Strawberry Yogurt O’s,strawberry yogurt o ’ s,Strawberry Yogurt O's,0.9453633,12 Oz,For the Pantry
82,"TJ’s Frozen Pie Crusts, thawed at room temperature for 2 hours",frozen pie crusts,Pie Crusts,0.8333456,22 Oz,From the Freezer
83,"TJ’s Berries, (we use a mix of fresh Blueberries, Raspberries, and Blackberries)",berries,Organic Strawberries 1 Lb,0.8265834,16 Oz,Fresh Fruits & Veggies
84,TJ’s Organic Cane Sugar,cane sugar,Organic Cane Sugar,0.9999997,2 Lb,For the Pantry
85,"TJ’s All-Purpose Flour, plus more for dusting",all-purpose flour,Unbleached Enriched All-Purpose Flour,0.9999998,5 Lb,For the Pantry
86,"TJ’s Unsalted Butter, cubed",butter,butter,0.6917406,,Dairy & Eggs
87,"TJ’s Lemon, plus 2 tablespoons juice",lemon,lemon,0.771699,,For the Pantry
88,TJ’s Fresh Thyme,thyme,thyme,0.41725332,,"Dips, Sauces & Dressings"
89,"TJ’s Heavy Cream, for brushing on crust; and to whip up for topping (optional but encouraged!)",heavy cream,Organic Heavy Whipping Cream,0.8823875,16 Fl Oz,Dairy & Eggs
90,"TJ’s Turbinado Raw Cane Sugar, for sprinkling",turbinado cane sugar,Organic Cane Sugar,0.84138316,2 Lb,For the Pantry
91,TJ's Creamy Salted Almond Butter,creamy salted almond butter,Creamy Almond Butter Salted,0.92334175,16 Oz,For the Pantry
92,TJ’s Lime,lime,lime,0.5596529,,Snacks & Sweets
93,TJ’s Organic Blue Agave Syrup,blue agave syrup,blue agave syrup,0.56692106,,For the Pantry
94,TJ’s Organic Crushed Red Pepper,red pepper,red pepper,0.7689196,,"Dips, Sauces & Dressings"
95,TJ’s Chile Lime Seasoning Blend,chile lime seasoning blend,Chile Lime Seasoning Blend,0.99999976,2.9 Oz,For the Pantry
96,"TJ’s Lime, sliced into wedges",lime,lime,0.5596529,,Snacks & Sweets
97,"TJ’s Jalapeño, thinly sliced",jalapeño,Jalapeño Sauce,0.84609026,10 Oz,"Dips, Sauces & Dressings"
98,TJ’s Mango Cream Bars,mango cream bars,Mango Cream Bars,0.99999994,15 Fl Oz,From the Freezer
99,TJ’s Lime Sparkling Water,lime sparkling water,lime sparkling water,0.45423222,,For the Pantry
100,"TJ’s Ciabatta Demi-Baguette, sliced in half lengthwise, then cut in half widthwise, on a bias, to make two sandwiches",ciabatta demi-baguette,Ciabatta Demi-Baguette,1.0000004,6.2 Oz,Bakery
101,"TJ’s Triple Creme Brie, cut into 8 slices",triple creme brie,triple creme brie,0.7777621,,Cheese
102,"TJ’s Bacon, cooked according to package instructions",bacon,Uncured Turkey Bacon,0.83793783,8 Oz,"Meat, Seafood & Plant-Based"
103,TJ’s Apple,apple,apple,0.52629113,,Bakery
104,TJ’s Carne Asada Authentica,carne asada authentica,Carne Asada Autentica,0.8110451,1 Lb,"Meat, Seafood & Plant-Based"
105,TJ’s Baby Lettuce Mix,baby lettuce mix,Organic Baby Lettuce Mix,0.99999994,5 Oz,Fresh Fruits & Veggies
106,"TJ’s Roasted Corn, prepared according to package instructions",corn,Roasted Corn,1.0000006,16 Oz,From the Freezer
107,TJ’s Mini Grape Tomatoes,mini grape tomatoes,mini grape tomatoes,0.7031893,,Fresh Fruits & Veggies
108,crumbled Cotija Cheese,cotija cheese,cotija cheese,0.6162713,,Cheese
109,"TJ’s Red Onion, thinly sliced",red onion,red onion,0.7874812,,Fresh Fruits & Veggies
110,TJ’s Cilantro Dressing,cilantro dressing,Cilantro Salad Dressing,0.9060801,12 Fl Oz,"Dips, Sauces & Dressings"
111,TJ’s Olive Oil,extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.9999998,33.8 Fl Oz,For the Pantry
112,"TJ’s Angus Chuck, Brisket, & Sirloin 1/3 lb. Ground Beef Patties",angus chuck,"Angus Chuck, Brisket & Sirloin Beef Patties",0.9999996,21.2 Oz,"Meat, Seafood & Plant-Based"
113,"TJ’s Triple Cream Soft Ripened Cambozola® Blue Cheese, sliced into rectangles",triple cream soft cambozola® blue cheese,Cambozola® Triple Cream Cheese,0.912781,1 Lb,Cheese
114,TJ’s Brioche Buns,brioche buns,Brioche Buns,1.0000002,9.45 Oz,Bakery
115,TJ’s Fig Butter,fig butter,Fig Butter,1.0000005,11 Oz,For the Pantry
116,TJ’s Arugula,arugula,Organic Arugula,0.99999976,7 Oz,Fresh Fruits & Veggies
117,"TJ’s Zucchini, stems removed and sliced lengthwise into thin planks",zucchini,zucchini,0.7347751,,For the Pantry
118,TJ’s Part Skim Ricotta,part skim ricotta,Part Skim Ricotta Cheese,0.8692673,16 Oz,Cheese
119,TJ’s Grated Pecorino Romano & Parmesan Cheese Blend,pecorino romano & parmesan cheese blend,pecorino romano & parmesan cheese blend,0.7216023,,Cheese
120,TJ’s Fresh Basil,basil,basil,0.6020451,,Fresh Prepared Foods
121,TJ’s Caro Sugo Italian Tomato Basil Pasta Sauce,caro sugo italian tomato basil pasta sauce,Caro Sugo Italian Tomato Basil Pasta Sauce,0.9999999,24.3 Oz,"Dips, Sauces & Dressings"
122,TJ’s Shredded Mozzarella Cheese,shredded mozzarella cheese,Shredded Mozzarella Cheese,1.0000001,16 Oz,Cheese
123,TJ’s Baby Broccoli,baby broccoli,baby broccoli,0.6631317,,Fresh Fruits & Veggies
124,TJ’s Creamy Dreamy Hummus,creamy dreamy hummus,Creamy Dreamy Hummus,1.0000001,8 Oz,"Dips, Sauces & Dressings"
125,TJ’s Crumbled Feta Cheese with Mediterranean Herbs,feta cheese with mediterranean herbs,feta cheese with mediterranean herbs,0.7487201,,Cheese
126,"TJ’s Chevre Goat's Milk Cheese, sliced into 6 medallions, then chilled until ready to use",chevre goat milk cheese,Chevre Goat Cheese,0.97419256,5 Oz,Cheese
127,TJ’s Green Goddess Spice Blend,green goddess spice blend,Green Goddess Seasoning Blend,0.83108056,2 Oz,For the Pantry
128,TJ’s Organic Extra Virgin Olive Oil Spray,extra virgin olive oil spray,"Extra Virgin Olive Oil, Liter",0.8772968,33.8 Fl Oz,For the Pantry
129,TJ’s Homestyle Angus Beef Meatballs,homestyle angus beef meatballs,Homestyle Angus Beef Meatballs,1.0000001,20.4 Oz,"Meat, Seafood & Plant-Based"
130,TJ’s Marinara Sauce,marinara sauce,Organic Marinara Sauce,0.99999976,25 Oz,"Dips, Sauces & Dressings"
131,"TJ’s Sandwich Rolls, sliced lengthwise, leaving one edge intact",sandwich rolls,sandwich rolls,0.78174245,,Bakery
132,TJ’s Sliced Provolone,sliced provolone,Sliced Provolone Cheese,0.89485985,12 Oz,Cheese
133,TJ’s Organic Shredded Green & Red Cabbage with Orange Carrots,shredded green & red cabbage with orange carrots,shredded green & red cabbage with orange carrots,0.6474268,,Fresh Fruits & Veggies
134,"TJ’s Yellow Onion, thinly sliced",yellow onion,yellow onion,0.7787264,,Fresh Fruits & Veggies
135,TJ’s Hot & Sweet Jalapeño Peppers,hot & sweet jalapeño peppers,Hot & Sweet Jalapeños,0.8907762,12 Fl Oz,For the Pantry
136,TJ’s Raw Apple Cider Vinegar,apple cider vinegar,Organic Raw Apple Cider Vinegar,1.0000001,16.9 Fl Oz,For the Pantry
137,TJ’s Organic Oregano,oregano,oregano,0.5147339,,For the Pantry
138,TJ’s Organic Tofu,tofu,Organic Tofu,0.9999999,19 Oz,"Meat, Seafood & Plant-Based"
139,TJ’s Organic Ground Turmeric,ground turmeric,Organic Ground Turmeric,1.0000008,2 Oz,For the Pantry
140,TJ’s California Garlic Powder,california garlic powder,california garlic powder,0.6009974,,For the Pantry
141,TJ’s California Onion Powder,california onion powder,california onion powder,0.6512272,,For the Pantry
142,TJ’s Black Pepper,black pepper,Organic Ground Black Pepper,0.8239188,2 Oz,For the Pantry
143,TJ’s Nutritional Yeast,nutritional yeast,Nutritional Yeast,1.0000001,4 Oz,For the Pantry
144,"TJ’s Organic Mini Flour Tortillas, warmed",mini flour tortillas,mini flour tortillas,0.7517967,,Bakery
145,"TJ’s Avocados, sliced",avocados,Organic Avocados 4 count,0.99999976,1 Each,Fresh Fruits & Veggies
146,TJ’s Pico de Gallo,pico gallo,pico gallo,0.73038083,,"Dips, Sauces & Dressings"
147,TJ’s Cilantro,cilantro,cilantro,0.63472193,,"Dips, Sauces & Dressings"
148,"TJ’s Limes, sliced into wedges",limes,limes,0.5760224,,Fresh Fruits & Veggies
149,TJ’s Organic Baby Lettuce,baby lettuce,Organic Baby Lettuce Mix,0.8562346,5 Oz,Fresh Fruits & Veggies
150,"TJ’s Blood Oranges, peeled and sliced into thin rounds",blood oranges,blood oranges,0.7421751,,From the Freezer
151,"TJ’s Fennel, thinly sliced",fennel,Fresh Fennel,1.0,20 Oz,Fresh Fruits & Veggies
152,"TJ’s Avocado, skin removed and sliced",avocado,Organic Avocados 4 count,0.90684146,1 Each,Fresh Fruits & Veggies
153,"TJ’s Roasted & Salted Pecan Halves, roughly chopped",roasted & salted pecan halves,roasted & salted pecan halves,0.6623782,,Snacks & Sweets
154,TJ’s Organic Crumbled Feta Cheese,crumbled feta cheese,Feta Cheese,0.8119158,8 Oz,Cheese
155,TJ’s Balsamic Vinaigrette,balsamic vinaigrette,Balsamic Vinaigrette,1.0000001,12 Fl Oz,"Dips, Sauces & Dressings"
156,TJ's Lentils,lentils,Lentils,0.99999994,15 Oz,For the Pantry
157,TJ’s Taco Seasoning Mix,taco seasoning mix,Taco Seasoning Mix,0.99999994,1.3 Oz,For the Pantry
158,TJ’s Corn Tortillas,corn tortillas,Corn & Wheat Tortillas,0.91094404,10 Oz,Bakery
159,"TJ’s Bell Peppers, one color or an array)",bell peppers,Organic Red Bell Peppers,0.8419529,12 Oz,Fresh Fruits & Veggies
160,TJ’s Cilantro Salad Dressing,cilantro salad dressing,Cilantro Salad Dressing,1.0000001,12 Fl Oz,"Dips, Sauces & Dressings"
161,"TJ’s Fresh Cilantro leaves, for garnish",cilantro leaves,cilantro leaves,0.5752103,,"Dips, Sauces & Dressings"
162,TJ's Organic Red Cherry Tomatoes,red cherry tomatoes,red cherry tomatoes,0.78807527,,Fresh Fruits & Veggies
163,TJ's Olive Oil,extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.99999994,33.8 Fl Oz,For the Pantry
164,TJ's Sea Salt,sea salt,sea salt,0.71811146,,For the Pantry
165,"TJ's Organic White Quinoa, prepared according to package instructions",white quinoa,Organic White Quinoa,0.9999999,16 Oz,For the Pantry
166,TJ's Thai Style Yellow Curry Sauce,thai style yellow curry sauce,Thai Style Yellow Curry Sauce,1.0,11 Oz,"Dips, Sauces & Dressings"
167,"TJ's Organic Garbanzo Beans, drained",garbanzo beans,Organic Garbanzo Beans,1.0000001,15.5 Oz,For the Pantry
168,TJ's Organic Baby Spinach,baby spinach,Organic Baby Spinach,1.0000002,6 Oz,Fresh Fruits & Veggies
169,"TJ's Bagels, sliced in half",bagels,Plain Bagels,0.8888842,18 Oz,Bakery
170,TJ's Whipped Cream Cheese,whipped cream cheese,Whipped Cream Cheese,1.0000004,8 Oz,Cheese
171,TJ's Wild Sockeye Smoked Salmon,wild sockeye smoked salmon,Wild Sockeye Smoked Salmon,1.0000001,4 Oz,"Meat, Seafood & Plant-Based"
172,"TJ's Red Onion, very thinly sliced",red onion,red onion,0.7874812,,Fresh Fruits & Veggies
173,"TJ's Persian Cucumbers, thinly sliced",persian cucumbers,Organic Persian Cucumbers,1.0000004,16 Oz,Fresh Fruits & Veggies
174,"TJ's Capers, drained",capers,capers,0.4788247,,Fresh Fruits & Veggies
175,"TJ's Fresh Dill, for garnish",dill,dill,0.56938595,,"Dips, Sauces & Dressings"
176,"TJ's Lemon, sliced into wedges",lemon,lemon,0.771699,,For the Pantry
177,TJ’s Freeze Dried Fig Slices,freeze dried fig slices,freeze dried fig slices,0.67783666,,Snacks & Sweets
178,"TJ’s Unexpected Cheddar, sliced into bite-sized rectangles",cheddar,Unexpected Cheddar Cheese,0.9442047,7 Oz,Cheese
179,"TJ’s Fresh Thyme, to garnish",thyme,thyme,0.41725332,,"Dips, Sauces & Dressings"
180,TJ’s Organic Unfiltered Apple Juice,apple juice,apple juice,0.63399345,,Snacks & Sweets
181,TJ’s Rolled Oats,oats,Rolled Oats,1.0000004,32 Oz,For the Pantry
182,"TJ's Apple (your favorite varietal), chopped into small cubes",apple,apple,0.52629113,,Bakery
183,TJ’s Organic Ground Cinnamon,ground cinnamon,Organic Ground Cinnamon,1.0000004,1.5 Oz,For the Pantry
184,Avocado Oil,avocado oil,Avocado Oil,1.0000001,16.9 Fl Oz,For the Pantry
185,"Jumbo Yellow Onion, diced",jumbo yellow onion,Jumbo Yellow Onions,0.9646951,1 Each,Fresh Fruits & Veggies
186,"medium-sized Sweet Potatoes, peeled and cubed",medium-sized sweet potatoes,medium-sized sweet potatoes,0.77227026,,Fresh Fruits & Veggies
187,TJ's Pearled Couscous,pearled couscous,Pearled Couscous,0.9999998,8 Oz,For the Pantry
188,TJ's Low Sodium Vegetable Broth,low sodium vegetable broth,Organic Low Sodium Vegetable Broth,1.0000002,32 Fl Oz,For the Pantry
189,TJ's Taco Seasoning,taco,taco,0.7041195,,From the Freezer
190,TJ's Organic Tuscan Kale,tuscan kale,Organic Tuscan Kale,1.0000005,10 Oz,Fresh Fruits & Veggies
191,"TJ's Salt & Pepper, to taste",salt & pepper,salt & pepper,0.64659566,,For the Pantry
192,TJ’s crusty bread,crusty bread,crusty bread,0.77790016,,Bakery
193,"TJ’s Shiitake Mushrooms, sliced",shiitake mushrooms,Shiitake Mushrooms,1.0000001,4 Oz,Fresh Fruits & Veggies
194,TJ’s Miso Ramen Cup,miso ramen cup,miso ramen cup,0.73095596,,For the Pantry
195,"TJ’s Baby Bok Choy, sliced in half and roughly chopped",baby bok choy,baby bok choy,0.7663124,,Fresh Fruits & Veggies
196,"TJ’s Furikake, for sprinkling",furikake,furikake,0.64905256,,Snacks & Sweets
197,"TJ’s Green Onion, thinly sliced",green onion,Green Onions,0.9420544,6 Oz,Fresh Fruits & Veggies
198,TJ’s Mirepoix,mirepoix,Mirepoix,1.0000001,14.5 Oz,Fresh Fruits & Veggies
199,"TJ’s Garlic, smashed",garlic,garlic,0.7989736,,Snacks & Sweets
200,TJ’s Organic Free Range Chicken Broth,free range chicken broth,Organic Free Range Chicken Broth,0.9999996,32 Fl Oz,For the Pantry
201,"TJ’s Parmesan, optional",parmesan,"Shaved Parmesan, Romano & Asiago Cheeses",0.9999997,5 Oz,Cheese
202,TJ’s Spinach Tortellini,spinach tortellini,Spinach Tortellini,0.99999994,10 Oz,Fresh Prepared Foods
203,"TJ’s Parmesan, to serve",parmesan,"Shaved Parmesan, Romano & Asiago Cheeses",0.9999997,5 Oz,Cheese
204,"TJ's Fresh Parsley, for ganish",parsley,parsley,0.7944728,,Snacks & Sweets
205,TJ's Extra Virgin Olive Oil,extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.9999998,33.8 Fl Oz,For the Pantry
206,"TJ’s Pizza Dough, left to sit at room temperature for 20 minutes",pizza dough,Plain Pizza Dough,0.8942871,16 Oz,Fresh Prepared Foods
207,"TJ's Unbleached Enriched All-Purpose Flour, for dusting",all-purpose flour,Unbleached Enriched All-Purpose Flour,0.9999998,5 Lb,For the Pantry
208,"TJ’s Yangnyeom Sauce, plus more for drizzling",yangnyeom sauce,Yangnyeom Sauce,1.0,15.5 Oz,"Dips, Sauces & Dressings"
209,TJ’s Shredded Pepper Jack Cheese,shredded pepper jack cheese,Shredded Pepper Jack Cheese Blend,0.89746886,12 Oz,Cheese
210,"TJ’s Spicy Chicken Nuggets, sliced into thirds",spicy chicken nuggets,Spicy Chicken Nuggets,1.0,12 Oz,"Meat, Seafood & Plant-Based"
211,"TJ’s Cilantro, leaved plucked from the stems, to garnish",cilantro,cilantro,0.63472193,,"Dips, Sauces & Dressings"
212,TJ’s Double Cream Brie,double cream brie,Double Cream Brie,1.0000004,8 Oz,Cheese
213,"TJ’s Walnuts, roughly chopped",walnuts,walnuts,0.71840745,,Snacks & Sweets
214,"TJ’s Fresh Thyme, destemmed and chopped",thyme,thyme,0.41725332,,"Dips, Sauces & Dressings"
215,"TJ’s Honey, plus more for drizzling",honey,honey,0.64017487,,For the Pantry
216,"TJ's crackers or a TJ's Organic Baguette, for serving",crackers or baguette,crackers or baguette,0.7530459,,Bakery
217,"TJ’s Pecorino Romano Cheese, plus more for serving",pecorino romano cheese,pecorino romano cheese,0.667496,,Cheese
218,"TJ’s Large Eggs, plus 2 yolks",eggs,eggs,0.63310754,,From the Freezer
219,TJ’s Organic Spaghetti Triangoletti Pasta,spaghetti triangoletti pasta,spaghetti triangoletti pasta,0.7181529,,For the Pantry
220,"TJ’s Uncured Apple Smoked Bacon, chopped into thin strips and cooked until crispy (ensure this step is complete before the pasta water comes to a boil)",apple smoked bacon,Uncured Apple Smoked Bacon,0.9999996,12 Oz,"Meat, Seafood & Plant-Based"
221,TJ’s Fontina Cheese,fontina cheese,fontina cheese,0.6919415,,Fresh Prepared Foods
222,"TJ’s Shrimp Scampi, prepared according to package instructions",shrimp scampi,Shrimp Scampi,0.99999994,13 Oz,From the Freezer
223,"TJ’s Lemon, one half zested, the other half quartered and thinly sliced",lemon,lemon,0.771699,,For the Pantry
224,TJ’s Organic Raw Apple Cider Vinegar,apple cider vinegar,Organic Raw Apple Cider Vinegar,1.0000001,16.9 Fl Oz,For the Pantry
225,TJ's Rainbow Peppercorns,rainbow peppercorns,rainbow peppercorns,0.64904815,,For the Pantry
226,TJ’s Joe's Diner Mac n' Cheese,diner mac n cheese,Joe's Diner Mac 'n Cheese,0.94878155,14 Oz,From the Freezer
227,TJ’s Pepper Jack Cheese Blend,pepper jack cheese blend,Shredded Pepper Jack Cheese Blend,0.9503031,12 Oz,Cheese
228,TJ’s Tortilla Chips,tortilla chips,Organic Blue Corn Tortilla Chips,0.83591896,16 Oz,Snacks & Sweets
